"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2026","6,200.0","6,300.0","6,300.0","6,200.0","10.93K","-1.59%"
"05/14/2026","6,300.0","6,300.0","6,330.0","6,220.0","85.22K","-0.47%"
"05/13/2026","6,330.0","6,290.0","6,330.0","6,290.0","11.87K","-0.31%"
"05/12/2026","6,350.0","6,200.0","6,350.0","6,100.0","5.33K","-0.47%"
"05/11/2026","6,380.0","6,230.0","6,400.0","6,230.0","15.96K","-0.93%"
"05/08/2026","6,440.0","6,300.0","6,450.0","6,300.0","23.63K","2.22%"
"05/07/2026","6,300.0","6,400.0","6,400.0","6,250.0","34.29K","0.00%"
"05/06/2026","6,300.0","6,300.0","6,300.0","6,280.0","24.03K","0.00%"
"05/05/2026","6,300.0","6,340.0","6,340.0","6,280.0","18.77K","1.12%"
"05/04/2026","6,230.0","6,350.0","6,400.0","6,200.0","38.41K","-1.42%"
"04/30/2026","6,320.0","6,320.0","6,320.0","6,290.0","8.30K","-0.32%"
"04/29/2026","6,340.0","6,280.0","6,450.0","6,280.0","46.22K","0.32%"
"04/28/2026","6,320.0","6,470.0","6,520.0","6,200.0","207.18K","-2.92%"
"04/27/2026","6,510.0","6,700.0","6,700.0","6,480.0","21.47K","-1.36%"
"04/24/2026","6,600.0","6,560.0","6,600.0","6,550.0","7.02K","-0.90%"
"04/23/2026","6,660.0","6,660.0","6,660.0","6,660.0","1.47K","0.00%"
"04/22/2026","6,660.0","6,690.0","6,690.0","6,640.0","13.28K","-0.45%"
"04/21/2026","6,690.0","6,520.0","6,690.0","6,520.0","21.74K","0.00%"
"04/20/2026","6,690.0","6,650.0","6,710.0","6,510.0","33.66K","0.60%"
"04/17/2026","6,650.0","6,550.0","6,700.0","6,550.0","28.70K","1.53%"
"04/16/2026","6,550.0","6,690.0","6,690.0","6,550.0","36.72K","-2.09%"
"04/15/2026","6,690.0","6,690.0","6,700.0","6,520.0","34.86K","1.36%"
"04/14/2026","6,600.0","6,680.0","6,680.0","6,500.0","22.99K","-0.75%"
"04/13/2026","6,650.0","6,600.0","6,670.0","6,600.0","25.55K","0.00%"
"04/10/2026","6,650.0","6,670.0","6,680.0","6,600.0","28.62K","0.91%"
"04/09/2026","6,590.0","6,550.0","6,600.0","6,550.0","22.01K","0.76%"
"04/08/2026","6,540.0","6,590.0","6,600.0","6,540.0","21.55K","-1.80%"
"04/07/2026","6,660.0","6,540.0","6,690.0","6,540.0","14.26K","0.45%"
"04/06/2026","6,630.0","6,630.0","6,640.0","6,630.0","13.64K","1.84%"
"04/01/2026","6,510.0","6,420.0","6,660.0","6,420.0","6.20K","-0.61%"
